Index,Cu,Pd,Pt,Ru
1,55.91,12.22,8.82,23.05
2,53.45,11.5,9.43,25.62
3,50.76,11.06,9.66,28.52
4,48.65,10.43,10.55,30.36
5,45.96,9.33,11.24,33.48
6,42.7,9.07,11.79,36.43
7,41.0,7.88,12.45,38.68
8,37.87,8.19,13.01,40.94
9,34.92,7.29,13.48,44.3
10,32.77,6.76,13.88,46.59
11,29.43,6.2,14.63,49.73
12,55.49,14.66,9.23,20.62
13,53.09,13.49,9.64,23.78
14,50.52,12.75,10.52,26.22
15,48.99,11.99,10.9,28.12
16,46.28,11.54,11.63,30.55
17,43.91,10.68,12.16,33.26
18,41.54,10.28,12.87,35.32
19,38.42,9.17,13.77,38.64
20,36.48,8.25,14.19,41.09
21,33.14,7.92,15.06,43.88
22,30.83,7.7,15.6,45.87
23,28.2,6.85,15.91,49.04
24,25.39,6.39,16.63,51.59
25,54.69,17.64,9.17,18.49
26,53.0,16.14,9.94,20.92
27,50.34,15.7,10.49,23.47
28,49.24,14.09,11.66,25.01
29,46.74,13.46,12.22,27.58
30,43.54,12.86,13.05,30.55
31,41.74,11.78,13.66,32.82
32,39.27,11.14,14.28,35.31
33,36.92,10.43,15.22,37.43
34,34.02,9.04,15.87,41.07
35,31.88,8.82,16.54,42.76
36,28.87,8.31,17.16,45.66
37,26.78,7.28,17.68,48.26
38,23.39,6.98,18.33,51.29
39,21.7,6.72,18.62,52.97
40,54.57,19.47,9.39,16.58
41,52.35,19.31,10.09,18.25
42,50.35,17.78,11.19,20.68
43,48.25,17.44,11.71,22.6
44,46.38,16.03,12.49,25.1
45,43.87,14.98,13.52,27.63
46,41.92,13.68,14.29,30.1
47,39.88,13.28,15.1,31.74
48,36.95,12.52,15.91,34.63
49,35.04,11.22,16.59,37.15
50,32.29,11.04,17.15,39.52
51,29.39,9.89,18.1,42.62
52,27.8,8.86,18.78,44.55
53,24.42,8.04,19.75,47.79
54,22.04,7.89,20.12,49.96
55,19.44,6.59,20.94,53.02
56,17.72,6.69,21.09,54.5
57,53.41,22.8,9.57,14.22
58,51.25,22.3,10.24,16.21
59,49.5,21.24,11.35,17.91
60,47.3,20.33,12.24,20.13
61,45.77,18.71,13.06,22.47
62,43.81,18.0,13.72,24.47
63,41.57,16.65,14.63,27.15
64,39.73,15.42,15.79,29.06
65,37.17,14.74,16.33,31.75
66,34.69,13.86,17.31,34.15
67,33.13,12.09,18.08,36.71
68,30.76,11.51,19.09,38.64
69,27.43,10.67,19.96,41.95
70,25.44,9.04,20.89,44.62
71,22.92,9.26,21.58,46.25
72,20.59,8.26,22.33,48.82
73,18.15,7.41,22.85,51.59
74,16.46,6.39,23.43,53.72
75,14.63,6.22,23.19,55.96
76,49.92,25.51,10.45,14.12
77,48.65,24.01,11.47,15.87
78,46.94,23.21,12.52,17.33
79,45.44,21.63,13.29,19.64
80,42.83,20.52,14.35,22.3
81,41.07,19.38,15.14,24.41
82,38.66,18.29,16.02,27.03
83,37.02,16.94,16.92,29.13
84,34.76,16.26,18.11,30.86
85,32.67,14.91,18.99,33.44
86,30.11,13.77,19.89,36.23
87,28.23,12.53,20.7,38.54
88,25.52,11.75,21.71,41.02
89,23.67,10.93,22.31,43.1
90,21.43,9.93,23.43,45.21
91,18.94,8.68,24.37,48.01
92,16.76,8.27,25.09,49.88
93,15.06,7.59,25.31,52.04
94,13.48,6.52,25.65,54.34
95,48.4,28.75,10.49,12.37
96,47.04,27.59,11.41,13.97
97,46.11,25.78,12.2,15.9
98,43.96,24.85,13.44,17.75
99,42.2,24.46,14.36,18.98
100,40.69,22.72,15.27,21.32
101,38.33,21.42,16.25,24.0
102,36.28,19.94,17.54,26.24
103,34.44,18.96,18.35,28.24
104,32.61,17.86,19.06,30.47
105,30.57,16.42,20.19,32.82
106,28.78,14.82,21.31,35.09
107,25.86,13.85,22.61,37.67
108,23.73,12.75,23.55,39.98
109,21.81,11.69,24.49,42.01
110,19.67,10.59,25.21,44.53
111,17.41,9.89,26.1,46.59
112,16.01,8.16,26.98,48.85
113,13.69,7.55,27.23,51.53
114,12.82,6.41,27.66,53.11
115,11.33,5.7,27.16,55.8
116,45.21,31.53,11.38,11.88
117,44.21,30.03,12.28,13.48
118,42.59,28.78,13.69,14.94
119,41.01,27.65,14.5,16.84
120,39.71,25.97,15.48,18.84
121,37.85,24.26,16.59,21.29
122,35.77,23.28,17.72,23.23
123,34.0,22.09,18.85,25.06
124,32.08,20.68,19.86,27.38
125,30.7,18.52,21.22,29.55
126,28.06,17.77,22.11,32.05
127,26.25,16.32,23.07,34.36
128,24.24,14.92,24.11,36.73
129,21.84,13.68,25.36,39.12
130,20.16,12.26,26.53,41.05
131,17.98,10.93,27.29,43.8
132,15.95,9.61,28.23,46.21
133,14.05,9.2,28.64,48.11
134,12.69,8.44,29.43,49.43
135,11.3,6.79,29.84,52.07
136,10.36,6.22,30.33,53.09
137,41.94,34.19,12.34,11.53
138,41.17,31.98,13.43,13.43
139,39.38,31.64,14.52,14.46
140,38.15,29.67,15.74,16.44
141,37.0,27.65,17.09,18.26
142,34.56,26.97,18.37,20.1
143,33.13,25.41,19.09,22.36
144,31.43,23.42,20.24,24.9
145,29.85,21.95,21.44,26.76
146,27.92,20.95,22.3,28.84
147,25.83,19.31,23.69,31.16
148,24.57,17.47,24.88,33.08
149,22.14,16.27,25.87,35.72
150,20.14,14.68,27.21,37.97
151,17.78,13.03,28.21,40.98
152,16.59,12.07,29.09,42.24
153,15.26,9.88,30.22,44.64
154,12.95,9.32,31.14,46.59
155,11.37,8.7,31.89,48.04
156,10.89,7.36,32.21,49.55
157,9.31,6.07,32.49,52.13
158,39.09,36.18,13.47,11.25
159,37.94,34.87,14.5,12.7
160,35.96,33.67,16.03,14.33
161,35.33,31.91,16.93,15.84
162,33.74,30.09,18.41,17.75
163,32.27,28.29,19.61,19.83
164,30.48,27.23,20.64,21.65
165,28.24,25.88,21.88,24.0
166,27.41,23.93,22.97,25.69
167,25.56,22.14,24.22,28.08
168,23.57,20.68,25.28,30.47
169,21.53,18.77,26.94,32.76
170,20.33,17.24,28.08,34.35
171,17.75,15.64,29.18,37.42
172,16.96,13.73,30.48,38.84
173,14.71,12.98,31.51,40.8
174,14.01,10.89,32.28,42.83
175,12.16,9.98,32.82,45.04
176,10.43,8.91,33.88,46.79
177,9.43,7.88,34.17,48.52
178,9.07,6.72,34.87,49.34
179,35.39,39.38,14.33,10.9
180,34.68,37.23,15.74,12.34
181,33.33,35.7,17.27,13.71
182,32.1,33.88,18.51,15.52
183,30.19,32.61,19.97,17.23
184,29.4,30.74,21.01,18.85
185,27.74,28.77,22.42,21.06
186,25.93,27.36,23.53,23.18
187,24.64,25.57,24.99,24.8
188,22.76,24.0,26.12,27.12
189,21.43,21.69,27.46,29.41
190,19.94,20.15,28.51,31.4
191,18.66,17.6,29.83,33.91
192,16.45,16.26,31.02,36.28
193,15.48,14.08,32.69,37.74
194,13.42,13.04,33.91,39.63
195,12.98,10.99,34.74,41.28
196,10.86,9.88,35.58,43.69
197,10.14,9.17,36.16,44.54
198,8.96,7.75,37.25,46.05
199,8.65,7.18,37.07,47.1
200,31.98,42.16,15.39,10.47
201,31.05,39.82,17.06,12.07
202,30.06,37.89,18.35,13.7
203,28.78,36.61,20.1,14.52
204,27.83,34.19,21.45,16.53
205,27.11,32.23,22.48,18.17
206,24.98,30.87,24.03,20.13
207,23.94,28.62,25.36,22.08
208,22.48,27.04,26.45,24.03
209,20.48,25.41,28.26,25.86
210,19.4,23.25,29.06,28.29
211,17.77,21.43,30.51,30.3
212,16.45,19.67,32.13,31.76
213,14.51,17.03,34.04,34.42
214,13.34,15.84,35.0,35.82
215,12.55,13.42,36.01,38.02
216,11.05,11.92,37.23,39.8
217,9.72,10.83,38.22,41.22
218,9.06,9.38,38.64,42.93
219,8.19,7.87,39.45,44.49
220,7.59,8.02,39.72,44.67
221,28.99,44.37,16.16,10.48
222,28.41,41.9,18.0,11.69
223,27.13,40.09,20.14,12.63
224,26.6,38.17,21.18,14.05
225,24.81,36.91,22.63,15.65
226,23.45,34.93,24.35,17.28
227,22.79,32.98,25.65,18.58
228,21.52,30.48,27.5,20.51
229,20.03,28.33,28.75,22.89
230,18.83,26.51,30.11,24.55
231,17.1,24.63,31.58,26.7
232,15.69,22.43,33.64,28.24
233,15.07,20.17,34.58,30.18
234,13.2,18.06,36.1,32.64
235,12.06,16.33,37.34,34.28
236,11.66,13.98,38.5,35.87
237,10.73,12.0,39.44,37.83
238,9.17,11.17,40.26,39.41
239,8.29,9.9,41.21,40.6
240,7.41,8.6,41.71,42.28
241,8.01,7.23,42.35,42.42
242,25.22,44.54,19.36,10.88
243,24.26,42.39,21.21,12.14
244,23.77,39.84,22.86,13.53
245,22.37,38.59,24.25,14.78
246,21.36,36.39,25.85,16.4
247,20.4,34.48,27.24,17.88
248,18.49,32.83,29.05,19.63
249,18.04,30.05,30.5,21.41
250,16.94,28.17,32.02,22.88
251,15.8,26.28,33.39,24.54
252,14.11,23.58,35.49,26.83
253,13.35,21.05,36.83,28.77
254,12.17,18.96,38.0,30.87
255,11.15,16.44,39.92,32.49
256,10.15,14.56,41.32,33.97
257,8.96,13.12,42.2,35.72
258,8.71,11.3,43.01,36.98
259,7.94,9.81,43.62,38.64
260,7.56,8.8,44.74,38.9
261,22.47,46.83,20.42,10.28
262,22.0,44.95,22.25,10.79
263,20.74,42.43,23.99,12.84
264,20.25,40.44,25.84,13.47
265,19.44,38.35,27.51,14.7
266,18.05,36.13,29.08,16.75
267,17.58,33.43,30.63,18.35
268,15.58,32.01,32.73,19.67
269,14.54,29.26,34.31,21.89
270,13.85,26.88,35.96,23.31
271,13.12,24.4,37.55,24.92
272,12.36,22.53,38.64,26.48
273,11.33,18.88,40.91,28.88
274,9.78,17.48,42.34,30.41
275,9.73,15.36,43.59,31.31
276,8.11,13.73,44.93,33.23
277,7.68,11.71,46.3,34.31
278,6.62,10.21,47.44,35.73
279,6.89,9.05,47.69,36.37
280,19.05,47.19,23.32,10.43
281,17.7,45.0,25.23,12.07
282,17.54,42.17,27.05,13.24
283,16.63,40.35,28.81,14.2
284,15.99,38.03,30.46,15.52
285,15.19,35.14,32.06,17.6
286,14.39,33.1,34.26,18.26
287,12.79,30.9,36.14,20.17
288,12.61,28.09,37.88,21.42
289,11.88,25.67,39.33,23.12
290,11.0,22.59,41.5,24.9
291,9.94,20.03,43.16,26.87
292,9.23,17.98,44.93,27.85
293,8.21,15.62,46.57,29.6
294,7.27,14.04,47.73,30.96
295,7.59,11.89,48.91,31.62
296,6.31,10.47,50.2,33.02
297,16.07,46.01,26.54,11.38
298,15.45,43.9,28.22,12.43
299,14.75,41.42,30.56,13.27
300,14.23,39.01,32.4,14.36
301,13.85,36.25,34.09,15.82
302,12.9,33.85,36.58,16.67
303,11.64,31.78,37.73,18.85
304,11.21,29.64,39.72,19.43
305,10.22,27.02,41.74,21.02
306,9.76,23.18,44.24,22.81
307,9.03,20.57,45.8,24.6
308,7.82,18.56,47.49,26.13
309,7.61,16.31,49.27,26.82
310,6.97,14.17,51.07,27.78
311,7.03,12.04,51.84,29.09
312,13.64,45.65,29.83,10.88
313,13.18,42.58,31.3,12.94
314,12.34,40.05,33.95,13.65
315,11.86,37.59,35.78,14.76
316,11.47,34.82,37.72,15.99
317,10.12,32.35,40.11,17.42
318,9.65,30.15,42.12,18.08
319,9.02,26.77,44.55,19.67
320,8.53,24.23,46.53,20.71
321,7.69,20.6,49.09,22.62
322,7.58,18.85,49.95,23.62
323,6.86,16.36,52.39,24.39
324,6.49,13.96,54.69,24.86
325,11.89,44.44,32.91,10.75
326,10.71,42.0,35.13,12.16
327,10.37,38.12,37.82,13.69
328,10.72,35.58,39.6,14.1
329,9.21,33.66,41.41,15.73
330,8.85,30.04,43.71,17.4
331,8.75,26.71,46.62,17.93
332,8.11,23.67,48.38,19.83
333,8.07,21.82,49.8,20.3
334,6.93,19.22,52.41,21.44
335,6.36,16.25,54.98,22.4
336,9.81,39.22,38.47,12.5
337,8.68,36.35,41.28,13.69
338,8.52,33.38,43.54,14.55
339,7.51,31.3,46.26,14.92
340,7.73,27.43,48.68,16.17
341,6.79,24.75,51.07,17.39
342,6.18,21.78,53.27,18.78
