Index,Ni,Pd,Pt,Ru
1,21.8,4.73,9.34,64.13
2,19.54,4.09,9.31,67.05
3,18.33,3.79,9.06,68.82
4,16.42,3.26,9.13,71.19
5,14.44,3.09,9.21,73.26
6,13.47,2.97,9.35,74.21
7,12.33,2.41,9.17,76.09
8,10.72,2.26,9.09,77.92
9,10.44,2.43,8.95,78.18
10,8.71,1.93,8.91,80.44
11,8.11,1.93,8.94,81.02
12,23.85,5.44,10.22,60.49
13,21.71,5.3,10.3,62.69
14,19.19,4.44,10.17,66.19
15,16.77,4.57,10.37,68.29
16,15.83,4.12,10.09,69.96
17,14.63,3.26,10.22,71.89
18,13.44,3.31,10.1,73.16
19,11.53,3.36,10.32,74.79
20,10.88,2.68,10.03,76.41
21,9.56,1.97,10.29,78.18
22,8.25,1.87,9.97,79.9
23,7.86,2.04,9.89,80.22
24,6.54,2.08,9.76,81.62
25,25.64,7.19,11.07,56.09
26,23.24,6.24,11.14,59.38
27,20.14,6.02,11.13,62.71
28,18.29,5.32,11.0,65.4
29,17.02,4.68,11.4,66.9
30,15.16,4.3,11.09,69.44
31,14.34,3.61,11.28,70.78
32,12.84,3.32,11.25,72.59
33,11.34,3.34,11.45,73.88
34,10.32,3.22,11.32,75.14
35,10.1,2.54,11.26,76.11
36,8.78,2.42,11.11,77.69
37,7.63,2.47,11.01,78.9
38,6.76,1.82,10.92,80.51
39,5.9,1.66,10.9,81.54
40,26.18,8.14,12.04,53.64
41,23.65,7.96,12.02,56.37
42,22.04,7.01,12.24,58.71
43,19.85,6.48,12.24,61.43
44,17.69,5.8,12.03,64.47
45,16.03,5.46,12.18,66.32
46,15.13,4.41,12.5,67.97
47,13.16,4.17,12.41,70.25
48,12.42,3.95,12.57,71.07
49,11.08,4.03,12.39,72.5
50,10.29,2.92,12.46,74.33
51,9.17,2.76,12.57,75.5
52,7.92,2.85,12.33,76.9
53,7.56,1.92,12.14,78.38
54,6.78,2.35,12.32,78.54
55,6.19,2.06,12.0,79.75
56,5.52,1.49,11.82,81.17
57,27.51,10.59,12.89,49.01
58,24.92,9.21,13.15,52.72
59,23.24,8.74,12.97,55.05
60,21.22,7.72,13.53,57.53
61,19.02,6.62,13.57,60.79
62,17.37,6.46,13.42,62.75
63,16.02,5.6,13.42,64.96
64,14.1,5.08,13.57,67.25
65,13.06,5.01,13.65,68.28
66,11.27,4.49,13.84,70.4
67,10.71,3.52,13.65,72.12
68,9.65,3.39,13.59,73.36
69,8.76,3.43,13.85,73.95
70,7.72,2.35,13.71,76.22
71,7.16,2.14,13.59,77.11
72,6.42,2.49,13.5,77.6
73,5.72,1.81,13.45,79.02
74,5.27,1.64,13.28,79.82
75,5.04,1.72,12.8,80.44
76,26.24,10.5,14.39,48.87
77,24.56,9.89,14.22,51.32
78,21.83,8.44,15.02,54.71
79,19.9,7.8,14.58,57.71
80,17.5,7.89,15.1,59.5
81,16.76,6.61,14.82,61.81
82,14.41,6.31,14.93,64.35
83,13.57,5.54,14.77,66.12
84,12.33,5.58,14.67,67.42
85,11.51,4.65,14.86,68.98
86,10.56,4.1,14.9,70.44
87,9.43,3.88,14.92,71.77
88,8.44,3.58,14.97,73.01
89,7.65,3.17,15.19,74.0
90,6.51,3.16,14.94,75.39
91,6.06,2.66,14.65,76.63
92,5.82,2.3,14.41,77.47
93,5.38,1.51,14.55,78.55
94,5.32,1.86,14.29,78.52
95,26.43,13.24,15.06,45.27
96,25.21,12.38,15.14,47.27
97,22.95,11.49,15.74,49.81
98,21.2,10.22,15.59,52.99
99,19.36,9.03,16.23,55.38
100,17.49,7.88,16.32,58.31
101,15.53,7.14,16.06,61.27
102,14.11,6.12,16.4,63.37
103,13.13,6.1,15.94,64.83
104,12.44,5.96,15.9,65.71
105,11.17,4.98,16.07,67.78
106,9.88,4.35,16.4,69.37
107,9.01,3.88,16.39,70.72
108,8.1,3.82,16.07,72.01
109,7.26,2.96,16.33,73.45
110,6.76,3.28,15.97,73.99
111,5.9,2.38,16.15,75.57
112,5.34,2.71,15.98,75.97
113,4.66,2.02,15.88,77.45
114,4.65,2.38,15.49,77.47
115,4.11,1.13,15.57,79.19
116,26.05,14.48,16.1,43.38
117,24.03,12.44,17.02,46.52
118,21.54,11.57,17.61,49.29
119,19.68,10.63,17.17,52.51
120,17.88,9.66,17.66,54.8
121,16.53,8.74,17.25,57.48
122,14.77,8.29,17.92,59.01
123,13.74,7.22,17.64,61.4
124,12.43,6.87,17.64,63.07
125,11.61,6.06,17.56,64.76
126,9.9,5.63,17.95,66.52
127,10.05,4.73,17.22,68.0
128,8.48,4.66,17.52,69.34
129,7.78,4.03,17.63,70.56
130,7.42,3.32,17.69,71.57
131,6.42,3.43,17.39,72.76
132,5.57,2.7,17.36,74.37
133,5.35,2.74,17.44,74.47
134,5.22,2.57,17.18,75.03
135,4.41,2.46,16.96,76.16
136,4.3,1.9,16.57,77.22
137,25.1,14.27,17.57,43.06
138,21.65,13.56,18.48,46.31
139,21.57,12.16,18.53,47.75
140,18.86,11.35,18.86,50.92
141,16.94,10.48,19.88,52.71
142,15.32,9.44,18.98,56.26
143,14.62,8.36,18.88,58.14
144,13.31,7.8,18.97,59.91
145,12.7,7.15,19.34,60.8
146,10.54,6.64,19.22,63.59
147,10.43,5.54,18.99,65.04
148,9.17,5.78,19.02,66.03
149,8.09,5.07,19.02,67.83
150,7.61,4.38,18.92,69.1
151,6.83,3.81,19.04,70.31
152,6.14,3.3,19.12,71.44
153,5.68,3.41,19.04,71.87
154,5.32,2.92,18.61,73.16
155,4.67,2.17,19.0,74.16
156,4.56,1.59,18.73,75.12
157,4.06,2.21,18.13,75.61
158,22.97,15.6,18.91,42.53
159,21.48,14.96,19.25,44.31
160,19.12,13.86,20.14,46.88
161,18.86,12.55,20.46,48.13
162,15.99,11.78,20.99,51.24
163,14.85,9.77,21.05,54.33
164,13.7,9.07,20.85,56.38
165,12.01,8.46,20.67,58.86
166,11.16,7.37,20.56,60.91
167,10.16,7.57,20.54,61.74
168,9.43,6.32,20.74,63.51
169,8.49,5.59,20.94,64.98
170,7.97,4.95,20.66,66.41
171,7.21,4.44,20.61,67.74
172,6.75,3.77,20.68,68.8
173,5.64,3.56,20.63,70.17
174,5.3,3.3,20.5,70.89
175,4.93,2.73,20.68,71.66
176,4.8,2.37,20.28,72.55
177,4.52,2.22,20.25,73.01
178,4.0,2.41,19.74,73.85
179,20.18,18.3,20.65,40.88
180,21.39,15.84,21.0,41.77
181,18.14,14.25,22.2,45.42
182,16.15,13.22,22.66,47.98
183,15.35,12.62,23.01,49.02
184,13.69,11.37,22.64,52.3
185,12.59,9.7,22.74,54.97
186,12.39,9.25,22.16,56.21
187,11.12,8.15,22.25,58.48
188,9.46,8.19,22.05,60.31
189,9.3,6.71,22.49,61.5
190,8.28,6.24,22.34,63.14
191,7.51,5.95,22.25,64.28
192,7.11,5.46,22.31,65.13
193,6.17,4.65,22.16,67.01
194,6.09,4.25,22.05,67.61
195,5.25,3.59,22.46,68.7
196,4.88,3.06,21.93,70.12
197,4.84,2.87,22.09,70.2
198,4.22,2.62,22.11,71.05
199,3.81,2.24,21.83,72.12
200,19.56,18.08,21.51,40.86
201,17.73,16.74,23.57,41.96
202,17.32,15.86,23.52,43.3
203,16.0,14.15,23.9,45.95
204,13.96,12.92,24.61,48.51
205,13.94,11.79,24.61,49.67
206,11.9,10.56,24.69,52.85
207,11.02,9.82,24.54,54.63
208,10.39,8.53,24.09,56.99
209,9.23,8.03,24.38,58.36
210,8.22,7.85,24.06,59.87
211,8.33,6.57,24.04,61.05
212,7.38,5.95,24.49,62.18
213,6.42,5.47,24.12,63.99
214,6.06,4.53,24.33,65.08
215,5.77,4.46,23.72,66.05
216,4.92,3.32,24.44,67.32
217,4.64,2.96,24.16,68.24
218,4.51,3.1,23.97,68.43
219,4.51,2.69,23.98,68.82
220,4.04,2.44,23.66,69.86
221,18.15,20.09,22.86,38.9
222,17.87,17.83,24.08,40.22
223,15.32,17.23,25.6,41.85
224,14.33,14.76,26.13,44.78
225,13.07,13.65,26.45,46.83
226,13.49,12.68,26.36,47.47
227,11.45,11.15,26.68,50.72
228,11.56,10.23,26.34,51.88
229,9.98,9.81,26.35,53.86
230,9.07,9.09,26.08,55.76
231,8.65,8.23,26.32,56.79
232,7.74,7.01,26.22,59.04
233,6.92,6.18,26.46,60.43
234,6.41,5.61,26.33,61.65
235,5.61,5.27,26.26,62.86
236,5.43,4.63,26.44,63.49
237,5.28,3.74,26.48,64.5
238,4.77,3.31,26.35,65.58
239,4.82,3.21,26.27,65.7
240,4.11,2.66,26.04,67.19
241,3.94,2.33,26.04,67.69
242,15.75,18.83,25.65,39.76
243,15.22,18.11,26.32,40.35
244,14.0,15.75,27.88,42.37
245,13.8,14.63,28.57,43.01
246,12.08,12.61,28.5,46.81
247,10.68,11.99,28.9,48.44
248,9.94,11.45,28.71,49.89
249,9.47,9.73,28.83,51.97
250,8.01,9.44,28.57,53.98
251,7.73,8.17,28.6,55.5
252,7.06,6.96,28.73,57.25
253,6.61,6.61,28.88,57.91
254,6.07,6.46,28.32,59.14
255,5.86,5.37,28.85,59.92
256,5.44,4.94,28.55,61.06
257,5.04,3.87,28.97,62.11
258,4.87,3.24,28.86,63.03
259,4.58,3.4,28.73,63.28
260,4.67,3.15,28.21,63.96
261,14.17,21.06,27.67,37.1
262,13.97,18.47,28.85,38.7
263,13.01,16.14,29.68,41.17
264,11.53,15.34,30.76,42.37
265,10.85,14.19,30.78,44.17
266,10.07,13.63,30.81,45.49
267,9.53,11.98,31.1,47.38
268,8.28,10.71,31.5,49.5
269,7.84,10.3,31.34,50.52
270,7.43,8.99,30.88,52.7
271,6.81,7.82,31.06,54.31
272,6.52,7.63,30.78,55.07
273,5.93,6.06,31.13,56.88
274,5.47,6.03,31.64,56.85
275,4.91,5.25,30.95,58.9
276,4.72,4.12,31.12,60.04
277,5.28,3.55,30.72,60.45
278,4.63,3.33,31.17,60.87
279,4.58,3.1,31.16,61.15
280,12.7,19.34,30.51,37.45
281,11.89,18.39,31.26,38.47
282,11.82,15.64,32.73,39.81
283,9.54,15.22,33.59,41.65
284,10.01,13.67,33.11,43.22
285,9.09,12.95,33.69,44.27
286,8.15,11.29,33.5,47.07
287,7.97,9.82,33.75,48.46
288,7.55,9.55,33.62,49.28
289,7.17,7.93,33.63,51.27
290,6.14,7.97,33.56,52.33
291,5.77,6.37,33.84,54.01
292,5.97,6.01,34.22,53.81
293,5.73,5.12,33.56,55.59
294,5.21,4.6,34.03,56.16
295,4.28,3.86,34.34,57.52
296,4.3,3.26,34.11,58.33
297,11.13,18.83,33.83,36.21
298,10.4,17.05,34.25,38.3
299,9.61,15.96,34.78,39.65
300,9.23,14.05,35.77,40.95
301,8.86,13.51,35.06,42.56
302,8.3,12.36,35.46,43.88
303,8.27,10.93,36.0,44.8
304,7.2,9.49,36.43,46.87
305,6.49,8.74,36.04,48.74
306,6.59,8.23,36.32,48.86
307,6.03,7.38,35.87,50.72
308,5.99,5.82,36.39,51.79
309,5.63,5.7,36.89,51.78
310,5.53,4.43,36.96,53.08
311,5.18,4.58,36.72,53.52
312,9.78,18.86,35.96,35.4
313,9.35,16.82,37.04,36.79
314,9.1,15.19,37.29,38.42
315,8.1,13.96,38.18,39.76
316,7.6,13.14,38.71,40.55
317,7.25,11.86,38.39,42.51
318,7.08,9.93,39.59,43.4
319,6.27,9.29,39.13,45.3
320,6.3,8.76,39.06,45.88
321,6.51,7.1,39.57,46.83
322,5.03,6.16,40.26,48.55
323,5.45,5.47,40.35,48.73
324,5.0,4.85,40.19,49.96
325,9.08,16.48,39.23,35.21
326,9.42,14.5,39.74,36.34
327,7.63,13.82,40.93,37.62
328,7.24,12.64,40.66,39.47
329,7.32,11.4,41.39,39.89
330,6.82,11.03,41.59,40.56
331,6.37,9.59,41.91,42.13
332,6.26,8.62,42.26,42.86
333,5.42,7.1,43.5,43.98
334,5.75,6.26,43.05,44.94
335,5.17,5.75,43.65,45.43
336,7.93,14.1,42.84,35.13
337,7.52,13.12,42.8,36.57
338,6.63,12.23,43.62,37.52
339,6.48,11.3,45.07,37.15
340,6.64,9.59,44.92,38.85
341,5.78,8.4,46.11,39.71
342,5.19,7.32,46.23,41.25
